    TIME,    CASE,    FLAP,     AOA,   AOAHT, AOAGUST,    BETA,   THETA,     PHI,     ALT,     EAS,    MACH,   P_CMD,   R_CMD,   Y_CMD,     ELE,     AIL,     RUD,    ETAB,    FZWB,    FZHT,    FYVT,      NX,      NY,      NZ,       Q,      QP,       P,      PP,       R,      RP,       U,       V,       W
    0.00,10000001,    0.00,   1.850,  -1.250,   0.000,   0.000,   7.130,   0.000,      0.,  100.00,   0.294,  -0.075,   0.000,   0.000,  -2.037,   0.000,   0.000,   2.265,  44653.,  -3640.,      0., -0.1241,  0.0000,  0.9923,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000, -0.0000, 99.9479,  0.0000,  3.2277,
    0.01,10000001,    0.00,   1.850,  -1.250,   0.000,  -0.000,   7.130,   0.000,      0.,  100.00,   0.294,  -0.085,   0.000,   0.000,  -2.307,   0.000,   0.000,   2.265,  44653.,  -3915.,      0., -0.1238,  0.0000,  0.9861,  0.0001,  0.0679,  0.0000,  0.0000, -0.0000, -0.0000, 99.9479, -0.0000,  3.2279,
    0.02,10000001,    0.00,   1.851,  -1.241,   0.000,  -0.000,   7.130,   0.000,      1.,  100.00,   0.294,  -0.095,   0.000,   0.000,  -2.577,   0.000,   0.000,   2.265,  44653.,  -4172.,      0., -0.1234,  0.0000,  0.9783,  0.0011,  0.1313,  0.0000,  0.0000, -0.0000, -0.0000, 99.9478, -0.0000,  3.2295,
    0.03,10000001,    0.00,   1.853,  -1.229,   0.000,  -0.000,   7.130,   0.000,      2.,   99.99,   0.294,  -0.105,   0.000,   0.000,  -2.847,   0.000,   0.000,   2.265,  44653.,  -4424.,      0., -0.1230,  0.0000,  0.9717,  0.0027,  0.1932,  0.0000,  0.0000, -0.0000, -0.0000, 99.9477, -0.0000,  3.2330,
    0.04,10000001,    0.00,   1.856,  -1.213,   0.000,  -0.000,   7.130,   0.000,      3.,   99.99,   0.294,  -0.115,   0.000,   0.000,  -3.117,   0.000,   0.000,   2.265,  44653.,  -4667.,      0., -0.1227,  0.0000,  0.9653,  0.0049,  0.2531,  0.0000,  0.0000, -0.0000, -0.0000, 99.9474, -0.0000,  3.2391,
    0.05,10000001,    0.00,   1.862,  -1.193,   0.000,  -0.000,   7.130,   0.000,      5.,   99.98,   0.294,  -0.125,   0.000,   0.000,  -3.387,   0.000,   0.000,   2.265,  44654.,  -4903.,      0., -0.1224,  0.0000,  0.9591,  0.0078,  0.3110,  0.0000, -0.0000, -0.0000, -0.0000, 99.9471, -0.0000,  3.2484,
    0.06,10000001,    0.00,   1.869,  -1.169,   0.000,  -0.000,   7.130,   0.000,      7.,   99.97,   0.294,  -0.135,   0.000,   0.000,  -3.657,   0.000,   0.000,   2.265,  44653.,  -5131.,      0., -0.1221,  0.0000,  0.9531,  0.0111,  0.3670,  0.0000, -0.0000, -0.0000, -0.0000, 99.9466, -0.0000,  3.2613,
    0.07,10000001,    0.00,   1.879,  -1.142,   0.000,  -0.000,   7.130,   0.000,     10.,   99.96,   0.294,  -0.145,   0.000,   0.000,  -3.927,   0.000,   0.000,   2.265,  44653.,  -5351.,      0., -0.1218,  0.0000,  0.9473,  0.0151,  0.4211,  0.0000, -0.0000, -0.0000, -0.0000, 99.9459, -0.0000,  3.2785,
    0.08,10000001,    0.00,   1.891,  -1.111,   0.000,  -0.000,   7.130,   0.000,     13.,   99.94,   0.294,  -0.155,   0.000,   0.000,  -4.197,   0.000,   0.000,   2.265,  44653.,  -5565.,      0., -0.1216,  0.0000,  0.9417,  0.0195,  0.4733,  0.0000, -0.0000, -0.0000, -0.0000, 99.9451, -0.0000,  3.3004,
    0.09,10000001,    0.00,   1.907,  -1.077,   0.000,  -0.000,   7.130,   0.000,     16.,   99.93,   0.294,  -0.165,   0.000,   0.000,  -4.467,   0.000,   0.000,   2.265,  44652.,  -5771.,      0., -0.1213,  0.0000,  0.9363,  0.0245,  0.5238, -0.0000, -0.0000, -0.0000, -0.0000, 99.9441, -0.0000,  3.3276,
    0.10,10000001,    0.00,   1.926,  -1.039,   0.000,  -0.000,   7.131,   0.000,     19.,   99.91,   0.294,  -0.175,   0.000,   0.000,  -4.737,   0.000,   0.000,   2.265,  44651.,  -5971.,      0., -0.1211,  0.0000,  0.9310,  0.0299,  0.5726, -0.0000, -0.0000, -0.0000, -0.0000, 99.9429, -0.0000,  3.3605,
    0.11,10000001,    0.00,   1.948,  -0.998,   0.000,  -0.000,   7.131,   0.000,     23.,   99.89,   0.294,  -0.185,   0.000,   0.000,  -5.007,   0.000,   0.000,   2.265,  44650.,  -6164.,      0., -0.1209,  0.0000,  0.9260,  0.0359,  0.6195, -0.0000, -0.0000, -0.0000, -0.0000, 99.9415, -0.0000,  3.3996,
    0.12,10000001,    0.00,   1.974,  -0.955,   0.000,  -0.000,   7.131,   0.000,     28.,   99.87,   0.294,  -0.195,   0.000,   0.000,  -5.277,   0.000,   0.000,   2.265,  44648.,  -6313.,      0., -0.1204,  0.0000,  0.9220,  0.0422,  0.6569, -0.0000, -0.0000, -0.0000, -0.0000, 99.9399, -0.0000,  3.4453,
    0.13,10000001,    0.00,   2.005,  -0.909,   0.000,  -0.000,   7.132,   0.000,     32.,   99.85,   0.294,  -0.205,   0.000,   0.000,  -5.547,   0.000,   0.000,   2.265,  44646.,  -6458.,      0., -0.1200,  0.0000,  0.9182,  0.0490,  0.6932, -0.0000, -0.0000, -0.0000, -0.0000, 99.9379, -0.0000,  3.4979,
    0.14,10000001,    0.00,   2.039,  -0.861,   0.000,  -0.000,   7.132,   0.000,     37.,   99.83,   0.294,  -0.215,   0.000,   0.000,  -5.817,   0.000,   0.000,   2.265,  44642.,  -6599.,      0., -0.1196,  0.0000,  0.9145,  0.0560,  0.7285, -0.0000, -0.0000, -0.0000, -0.0000, 99.9356, -0.0000,  3.5578,
    0.15,10000001,    0.00,   2.078,  -0.810,   0.000,  -0.000,   7.133,   0.000,     43.,   99.80,   0.294,  -0.225,   0.000,   0.000,  -6.087,   0.000,   0.000,   2.265,  44639.,  -6736.,      0., -0.1192,  0.0000,  0.9108,  0.0635,  0.7627, -0.0000, -0.0000, -0.0000, -0.0000, 99.9330, -0.0000,  3.6253,
    0.16,10000001,    0.00,   2.121,  -0.758,   0.000,  -0.000,   7.134,   0.000,     48.,   99.77,   0.294,  -0.235,   0.000,   0.000,  -6.357,   0.000,   0.000,   2.265,  44634.,  -6869.,      0., -0.1188,  0.0000,  0.9072,  0.0712,  0.7959, -0.0000, -0.0000, -0.0000, -0.0000, 99.9300, -0.0000,  3.7007,
    0.17,10000001,    0.00,   2.169,  -0.703,   0.000,  -0.000,   7.134,   0.000,     54.,   99.74,   0.294,  -0.245,   0.000,   0.000,  -6.627,   0.000,   0.000,   2.265,  44629.,  -6998.,      0., -0.1184,  0.0000,  0.9038,  0.0793,  0.8281, -0.0000, -0.0000, -0.0000, -0.0000, 99.9267, -0.0000,  3.7844,
    0.18,10000001,    0.00,   2.222,  -0.645,   0.000,  -0.000,   7.135,   0.000,     61.,   99.71,   0.294,  -0.255,   0.000,   0.000,  -6.897,   0.000,   0.000,   2.265,  44623.,  -7124.,      0., -0.1181,  0.0000,  0.9004,  0.0877,  0.8595, -0.0000, -0.0000, -0.0000, -0.0000, 99.9229, -0.0000,  3.8767,
    0.19,10000001,    0.00,   2.280,  -0.586,   0.000,  -0.000,   7.136,   0.000,     68.,   99.68,   0.294,  -0.265,   0.000,   0.000,  -7.167,   0.000,   0.000,   2.265,  44617.,  -7246.,      0., -0.1177,  0.0000,  0.8970,  0.0964,  0.8899, -0.0000, -0.0000, -0.0000, -0.0000, 99.9186, -0.0000,  3.9778,
    0.20,10000001,    0.00,   2.343,  -0.525,   0.000,  -0.000,   7.137,   0.000,     75.,   99.65,   0.294,  -0.275,   0.000,   0.000,  -7.437,   0.000,   0.000,   2.265,  44609.,  -7365.,      0., -0.1174,  0.0000,  0.8938,  0.1054,  0.9195, -0.0000, -0.0000, -0.0000, -0.0000, 99.9139, -0.0000,  4.0881,
    0.21,10000001,    0.00,   2.412,  -0.462,   0.000,  -0.000,   7.138,   0.000,     82.,   99.61,   0.294,  -0.285,   0.000,   0.000,  -7.707,   0.000,   0.000,   2.265,  44602.,  -7481.,      0., -0.1171,  0.0000,  0.8906,  0.1147,  0.9483, -0.0000, -0.0000, -0.0000, -0.0000, 99.9087, -0.0000,  4.2079,
    0.22,10000001,    0.00,   2.486,  -0.397,   0.000,  -0.000,   7.139,   0.000,     90.,   99.58,   0.294,  -0.295,   0.000,   0.000,  -7.977,   0.000,   0.000,   2.265,  44593.,  -7594.,      0., -0.1168,  0.0000,  0.8874,  0.1243,  0.9763, -0.0000, -0.0000, -0.0000, -0.0000, 99.9028, -0.0000,  4.3375,
    0.23,10000001,    0.00,   2.566,  -0.330,   0.000,  -0.000,   7.141,   0.000,     98.,   99.54,   0.294,  -0.305,   0.000,   0.000,  -8.247,   0.000,   0.000,   2.265,  44583.,  -7704.,      0., -0.1165,  0.0000,  0.8844,  0.1342,  1.0035, -0.0000, -0.0000, -0.0000, -0.0000, 99.8964, -0.0000,  4.4770,
    0.24,10000001,    0.00,   2.652,  -0.262,   0.000,  -0.000,   7.142,   0.000,    106.,   99.50,   0.294,  -0.315,   0.000,   0.000,  -8.517,   0.000,   0.000,   2.265,  44573.,  -7811.,      0., -0.1162,  0.0000,  0.8813,  0.1443,  1.0301, -0.0000, -0.0000, -0.0000, -0.0000, 99.8893, -0.0000,  4.6268,
    0.25,10000001,    0.00,   2.744,  -0.191,   0.000,  -0.000,   7.144,   0.000,    115.,   99.46,   0.294,  -0.325,   0.000,   0.000,  -8.787,   0.000,   0.000,   2.265,  44563.,  -7916.,      0., -0.1160,  0.0000,  0.8784,  0.1547,  1.0559, -0.0000, -0.0000, -0.0000, -0.0000, 99.8814, -0.0000,  4.7871,
    0.26,10000001,    0.00,   2.842,  -0.119,   0.000,  -0.000,   7.145,   0.000,    124.,   99.41,   0.294,  -0.335,   0.000,   0.000,  -9.057,   0.000,   0.000,   2.265,  44551.,  -8019.,      0., -0.1157,  0.0000,  0.8755,  0.1653,  1.0811, -0.0000, -0.0000, -0.0000, -0.0000, 99.8728, -0.0000,  4.9583,
    0.27,10000001,    0.00,   2.947,  -0.046,   0.000,  -0.000,   7.147,   0.000,    133.,   99.37,   0.294,  -0.345,   0.000,   0.000,  -9.327,   0.000,   0.000,   2.265,  44539.,  -8119.,      0., -0.1155,  0.0000,  0.8726,  0.1762,  1.1057, -0.0000, -0.0000, -0.0000, -0.0000, 99.8633, -0.0000,  5.1404,
    0.28,10000001,    0.00,   3.058,   0.030,   0.000,  -0.000,   7.149,   0.000,    143.,   99.32,   0.294,  -0.355,   0.000,   0.000,  -9.597,   0.000,   0.000,   2.265,  44526.,  -8216.,      0., -0.1153,  0.0000,  0.8698,  0.1874,  1.1295, -0.0000, -0.0000, -0.0000, -0.0000, 99.8529, -0.0000,  5.3338,
    0.29,10000001,    0.00,   3.175,   0.107,   0.000,  -0.000,   7.151,   0.000,    153.,   99.27,   0.294,  -0.365,   0.000,   0.000,  -9.867,   0.000,   0.000,   2.265,  44513.,  -8310.,      0., -0.1151,  0.0000,  0.8671,  0.1987,  1.1525, -0.0000, -0.0000, -0.0000, -0.0000, 99.8415, -0.0000,  5.5387,
    0.30,10000001,    0.00,   3.300,   0.185,   0.000,  -0.000,   7.153,   0.000,    163.,   99.23,   0.294,  -0.375,   0.000,   0.000, -10.137,   0.000,   0.000,   2.265,  44499.,  -8389.,      0., -0.1147,  0.0000,  0.8646,  0.2103,  1.1727, -0.0000, -0.0000, -0.0000, -0.0000, 99.8290, -0.0000,  5.7553,
    0.31,10000001,    0.00,   3.431,   0.264,   0.000,  -0.000,   7.155,   0.000,    173.,   99.18,   0.294,  -0.385,   0.000,   0.000, -10.407,   0.000,   0.000,   2.265,  44484.,  -8456.,      0., -0.1143,  0.0000,  0.8626,  0.2221,  1.1901, -0.0000, -0.0000, -0.0000, -0.0000, 99.8153, -0.0000,  5.9837,
    0.32,10000001,    0.00,   3.569,   0.345,   0.000,  -0.000,   7.157,   0.000,    184.,   99.13,   0.294,  -0.395,   0.000,   0.000, -10.677,   0.000,   0.000,   2.265,  44468.,  -8520.,      0., -0.1138,  0.0000,  0.8606,  0.2340,  1.2068, -0.0000, -0.0000, -0.0000, -0.0000, 99.8004, -0.0000,  6.2241,
    0.33,10000001,    0.00,   3.714,   0.427,   0.000,  -0.000,   7.160,   0.000,    195.,   99.07,   0.294,  -0.405,   0.000,   0.000, -10.947,   0.000,   0.000,   2.265,  44452.,  -8581.,      0., -0.1134,  0.0000,  0.8587,  0.2461,  1.2229, -0.0000, -0.0000, -0.0000, -0.0000, 99.7841, -0.0000,  6.4767,
    0.34,10000001,    0.00,   3.866,   0.510,   0.000,  -0.000,   7.162,   0.000,    206.,   99.02,   0.295,  -0.415,   0.000,   0.000, -11.217,   0.000,   0.000,   2.265,  44435.,  -8640.,      0., -0.1130,  0.0000,  0.8568,  0.2584,  1.2383, -0.0000, -0.0000, -0.0000, -0.0000, 99.7663, -0.0000,  6.7416,
    0.35,10000001,    0.00,   4.025,   0.593,   0.000,  -0.000,   7.165,   0.000,    218.,   98.97,   0.295,  -0.425,   0.000,   0.000, -11.487,   0.000,   0.000,   2.265,  44418.,  -8697.,      0., -0.1126,  0.0000,  0.8549,  0.2708,  1.2532, -0.0000, -0.0000, -0.0000, -0.0000, 99.7469, -0.0000,  7.0189,
    0.36,10000001,    0.00,   4.192,   0.678,   0.000,  -0.000,   7.168,   0.000,    229.,   98.91,   0.295,  -0.435,   0.000,   0.000, -11.757,   0.000,   0.000,   2.265,  44400.,  -8752.,      0., -0.1122,  0.0000,  0.8531,  0.2834,  1.2675, -0.0000, -0.0000, -0.0000, -0.0000, 99.7258, -0.0000,  7.3088,
    0.37,10000001,    0.00,   4.366,   0.764,   0.000,  -0.000,   7.170,   0.000,    241.,   98.85,   0.295,  -0.445,   0.000,   0.000, -12.027,   0.000,   0.000,   2.265,  44381.,  -8804.,      0., -0.1118,  0.0000,  0.8514,  0.2960,  1.2812, -0.0000, -0.0000, -0.0000, -0.0000, 99.7030, -0.0000,  7.6114,
    0.38,10000001,    0.00,   4.547,   0.850,   0.000,  -0.000,   7.173,   0.000,    253.,   98.80,   0.295,  -0.455,   0.000,   0.000, -12.297,   0.000,   0.000,   2.265,  44362.,  -8855.,      0., -0.1114,  0.0000,  0.8496,  0.3089,  1.2944, -0.0000, -0.0000, -0.0000, -0.0000, 99.6782, -0.0000,  7.9268,
    0.39,10000001,    0.00,   4.736,   0.938,   0.000,  -0.000,   7.177,   0.000,    265.,   98.74,   0.295,  -0.465,   0.000,   0.000, -12.567,   0.000,   0.000,   2.265,  44342.,  -8903.,      0., -0.1111,  0.0000,  0.8479,  0.3218,  1.3071, -0.0000, -0.0000, -0.0000, -0.0000, 99.6513, -0.0000,  8.2551,
